[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y5i124umliwlhj7g8ye0b78a1r47arqq', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:04:09'); args=(u'y5i124umliwlhj7g8ye0b78a1r47arqq', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:04:09')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yimc0ic7xxpzayv9747css8k5ymho0pt'  LIMIT 1; args=(u'yimc0ic7xxpzayv9747css8k5ymho0pt',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yimc0ic7xxpzayv9747css8k5ymho0pt', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:48:56'); args=(u'yimc0ic7xxpzayv9747css8k5ymho0pt', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:48:56')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yint5y33y59d14o0kuup8k8vi69g49qe'  LIMIT 1; args=(u'yint5y33y59d14o0kuup8k8vi69g49qe',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yint5y33y59d14o0kuup8k8vi69g49qe', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-26 10:31:04'); args=(u'yint5y33y59d14o0kuup8k8vi69g49qe', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-26 10:31:04')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yjaz9wvteeuf5ec9m3oin5lbkmtj6dix'  LIMIT 1; args=(u'yjaz9wvteeuf5ec9m3oin5lbkmtj6dix',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yjaz9wvteeuf5ec9m3oin5lbkmtj6dix', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:03:40'); args=(u'yjaz9wvteeuf5ec9m3oin5lbkmtj6dix', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:03:40')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'ykdx2xyxl7y29corn3f89lo8gdvy6b5v'  LIMIT 1; args=(u'ykdx2xyxl7y29corn3f89lo8gdvy6b5v',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('ykdx2xyxl7y29corn3f89lo8gdvy6b5v', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:47:57'); args=(u'ykdx2xyxl7y29corn3f89lo8gdvy6b5v', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:47:57')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'ykwe2on2keugwo18bb3toajjye8igprt'  LIMIT 1; args=(u'ykwe2on2keugwo18bb3toajjye8igprt',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('ykwe2on2keugwo18bb3toajjye8igprt', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:02:44'); args=(u'ykwe2on2keugwo18bb3toajjye8igprt', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:02:44')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'ylf34196pnzij66vkptlgtbj8kshf3z4'  LIMIT 1; args=(u'ylf34196pnzij66vkptlgtbj8kshf3z4',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('ylf34196pnzij66vkptlgtbj8kshf3z4', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 06:13:38'); args=(u'ylf34196pnzij66vkptlgtbj8kshf3z4', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 06:13:38')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'ym7v833t1iimgwvei8ium4lsv9wj6obe'  LIMIT 1; args=(u'ym7v833t1iimgwvei8ium4lsv9wj6obe',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('ym7v833t1iimgwvei8ium4lsv9wj6obe', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:03:38'); args=(u'ym7v833t1iimgwvei8ium4lsv9wj6obe', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:03:38')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'ymdaw2gxmb96az071tbb7lz5l4uvt7c5'  LIMIT 1; args=(u'ymdaw2gxmb96az071tbb7lz5l4uvt7c5',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('ymdaw2gxmb96az071tbb7lz5l4uvt7c5', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-11-13 05:53:33'); args=(u'ymdaw2gxmb96az071tbb7lz5l4uvt7c5', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-11-13 05:53:33')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yo4flj52x7v2vr3avaijy8of7r6cd9di'  LIMIT 1; args=(u'yo4flj52x7v2vr3avaijy8of7r6cd9di',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yo4flj52x7v2vr3avaijy8of7r6cd9di', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-04 12:24:02'); args=(u'yo4flj52x7v2vr3avaijy8of7r6cd9di', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-04 12:24:02')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yoiros6o1hpmpnhge3gy0tf7hhvjj4dv'  LIMIT 1; args=(u'yoiros6o1hpmpnhge3gy0tf7hhvjj4dv',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yoiros6o1hpmpnhge3gy0tf7hhvjj4dv', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:04:58'); args=(u'yoiros6o1hpmpnhge3gy0tf7hhvjj4dv', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:04:58')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yqpuh91yr3pw53u7gk5os4hfggsw474m'  LIMIT 1; args=(u'yqpuh91yr3pw53u7gk5os4hfggsw474m',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yqpuh91yr3pw53u7gk5os4hfggsw474m', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:47:55'); args=(u'yqpuh91yr3pw53u7gk5os4hfggsw474m', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:47:55')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yt6t0ertxficpril1a8im7wpjv0x9txb'  LIMIT 1; args=(u'yt6t0ertxficpril1a8im7wpjv0x9txb',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yt6t0ertxficpril1a8im7wpjv0x9txb', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-19 12:57:42'); args=(u'yt6t0ertxficpril1a8im7wpjv0x9txb', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-19 12:57:42')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yty6zff1ce35hr4prxcm299vx82hs559'  LIMIT 1; args=(u'yty6zff1ce35hr4prxcm299vx82hs559',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yty6zff1ce35hr4prxcm299vx82hs559', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-25 06:56:10'); args=(u'yty6zff1ce35hr4prxcm299vx82hs559', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-25 06:56:10')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'yzweywqcws01j5vecdltfc3wk3x3xj1z'  LIMIT 1; args=(u'yzweywqcws01j5vecdltfc3wk3x3xj1z',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('yzweywqcws01j5vecdltfc3wk3x3xj1z', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-06 08:54:05'); args=(u'yzweywqcws01j5vecdltfc3wk3x3xj1z', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-06 08:54:05')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z05n9ehwx2m4rogg5w9td626fne5aw38'  LIMIT 1; args=(u'z05n9ehwx2m4rogg5w9td626fne5aw38',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z05n9ehwx2m4rogg5w9td626fne5aw38', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-25 06:56:22'); args=(u'z05n9ehwx2m4rogg5w9td626fne5aw38', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-25 06:56:22')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z35onmbl1im2mq6drprlgnerrscnyqlm'  LIMIT 1; args=(u'z35onmbl1im2mq6drprlgnerrscnyqlm',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z35onmbl1im2mq6drprlgnerrscnyqlm', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-25 06:56:34'); args=(u'z35onmbl1im2mq6drprlgnerrscnyqlm', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-25 06:56:34')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z4ys6fpdvtbzita35gf387qcaim6peb8'  LIMIT 1; args=(u'z4ys6fpdvtbzita35gf387qcaim6peb8',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z4ys6fpdvtbzita35gf387qcaim6peb8', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-26 10:30:13'); args=(u'z4ys6fpdvtbzita35gf387qcaim6peb8', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-26 10:30:13')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z54ee3lr1x5kwaqhs6x2rdzeyvkok5nu'  LIMIT 1; args=(u'z54ee3lr1x5kwaqhs6x2rdzeyvkok5nu',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z54ee3lr1x5kwaqhs6x2rdzeyvkok5nu', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-06 08:54:03'); args=(u'z54ee3lr1x5kwaqhs6x2rdzeyvkok5nu', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-06 08:54:03')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z5yccysa1c1ixcasahtvsxxqh8s9oxtz'  LIMIT 1; args=(u'z5yccysa1c1ixcasahtvsxxqh8s9oxtz',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z5yccysa1c1ixcasahtvsxxqh8s9oxtz', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:46:49'); args=(u'z5yccysa1c1ixcasahtvsxxqh8s9oxtz', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:46:49')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z5z8kpthbwhc8ssnpuj4a7ho54hn55xl'  LIMIT 1; args=(u'z5z8kpthbwhc8ssnpuj4a7ho54hn55xl',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z5z8kpthbwhc8ssnpuj4a7ho54hn55xl', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-09-16 12:34:40'); args=(u'z5z8kpthbwhc8ssnpuj4a7ho54hn55xl', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-09-16 12:34:40')
